Nodo;Latitud;Longitud
394;-8.206652;-76.524022
395;-8.179161;-76.517609
396;-8.182041;-76.518381
397;-8.181397;-76.518177
398;-8.180759;-76.518011
399;-8.180254;-76.517596
400;-8.178953;-76.516863
401;-8.180582;-76.516454
402;-8.181119;-76.516595
403;-8.181756;-76.51678
404;-8.182426;-76.516965
405;-8.182716;-76.515899
406;-8.182969;-76.515057
407;-8.182788;-76.514958
408;-8.18261;-76.51532
409;-8.182832;-76.514647
410;-8.183508;-76.514083
411;-8.183082;-76.513928
412;-8.182216;-76.513666
413;-8.18135;-76.513408
414;-8.180716;-76.513241
415;-8.179621;-76.512471
416;-8.179258;-76.511552
417;-8.178816;-76.510688
418;-8.17929;-76.510787
419;-8.179691;-76.510876
420;-8.181159;-76.511218
421;-8.18092;-76.511986
422;-8.181738;-76.51227
423;-8.182604;-76.512586
424;-8.183474;-76.512887
425;-8.182035;-76.511315
426;-8.18289;-76.511626
427;-8.183777;-76.511927
428;-8.181595;-76.51007
429;-8.182386;-76.51028
430;-8.183245;-76.51058
431;-8.183901;-76.510826
432;-8.184149;-76.510926
433;-8.181734;-76.509528
434;-8.182492;-76.509854
435;-8.182138;-76.509567
436;-8.183433;-76.510075
437;-8.184118;-76.50988
438;-8.181942;-76.509028
439;-8.182738;-76.509316
440;-8.183125;-76.507954
441;-8.185594;-76.509851
442;-8.186053;-76.508994
443;-8.185989;-76.508482
444;-8.184791;-76.508284
445;-8.184566;-76.507897
446;-8.198257;-76.514987
447;-8.198756;-76.515148
448;-8.198979;-76.514343
449;-8.198491;-76.514279
450;-8.199188;-76.516167
451;-8.199626;-76.515328
452;-8.199822;-76.514598
453;-8.200858;-76.514679
454;-8.200445;-76.515483
455;-8.198816;-76.524632
456;-8.200889;-76.524086
457;-8.200618;-76.523024
458;-8.201505;-76.523266
459;-8.201745;-76.524313
460;-8.202526;-76.525664
